0,0,0,0.15
17,17,17,5.4
34,34,34,11.2
51,51,51,17.2
68,68,68,23.4
85,85,85,29.5
102,102,102,35.3
119,119,119,41.3
136,136,136,47.6
153,153,153,53.3
170,170,170,59.1
187,187,187,64.5
204,204,204,70.5
221,221,221,75.7
238,238,238,80.5
255,255,255,85.3
